site,format
ntl,yyyy-mm-dd
ntl,yyyy/MM/dd
nwk,YYYY
nwk,YYYY-MM-DD
nwt,DDD
nwt,HH24:MI
nwt,HH:MM
nwt,JD
nwt,MM/DD/YY
nwt,MM/DD/YYYY
nwt,YYMMDD
nwt,YYYY
nwt,YYYY-MM-DD
nwt,YYYY0MM0DD
nwt,hh:mm
nwt,hhmm
nwt,none
pal,YYYY-MM-DD
pal,hh:mm:ss
pie,DD-MON-YYYY
pie,HH:MM
pie,MM/DD/YYYY
pie,MON-YYYY
pie,YYYY
pie,YYYY-MM-DD
pie,dd
pie,dd-mom-yyyy
pie,dd-mon-yyyy
pie,hh:mm
pie,hh:mm:ss
pie,mm
pie,mm/dd/yyyy
pie,mmm
pie,yyyy
pie,yyyy-mm-dd
sbc,DD
sbc,DD-WWW-YYYY
sbc,DD-mmm-YY
sbc,DDMonYYYY
sbc,HH:MM:SS
sbc,HH:MM:SSZ
sbc,MM
sbc,MM-DD-YYYY
sbc,MM/D/YYYY
sbc,MM/DD/YY
sbc,MM/DD/YYYY
sbc,YYYY
sbc,YYYY-MM-DD
sbc,YYYY-MM-DDT-8hh:mm
sbc,YYYY-MM-DDThh:mm
sbc,YYYY-MM-DDThh:mm-h
sbc,YYYY-MM-DDThh:mm:ss
sbc,YYYY-MM-DDThh:mm:ssZ
sbc,YYYY-MM-DDThh:mmZ
sbc,YYYYMMDD
sbc,[m]m/[d]d/yy
sbc,dd
sbc,dd-MMM-yyyy
sbc,hh:mm
sbc,hh:mm:ss
sbc,mm
sbc,mm/dd/yy
sbc,mm/dd/yyyy
sbc,yyyy
sbc,yyyy-mm-dd
sbc,yyyymmddHHMMSS
sev,DD
sev,DD/MM/YYYY
sev,DDD
sev,HH:MM:SS
sev,HHMM
sev,MM
sev,MM-YY
sev,MM/DD/YY
sev,MM/DD/YYThh:mm:ss
sev,MM/DD/YYYY
sev,YY
sev,YYYY
sev,YYYY-MM-DD
sev,YYYYMMDD
sev,YYYYMMDDhhmmss
sev,dd/mm/yyyy
sev,ddd
sev,hh:mm
sev,hh:mm:ss
sev,hh:mm:ss.s
sev,hhmm
sev,hm
