YYYY-MM-DD
YYYY-MM-DD hh:mm:ss.sss
YYYY-MM-DDThh:mm:ss.sss
YYYY-MM-DD hh:mm:ss.sssZ
YYYY-MM-DDThh:mm:ss.sssZ
YYYY-MM-DD hh:mm:ss.sss+hh:mm
YYYY-MM-DDThh:mm:ss.sss+hh:mm
YYYY-MM-DD hh:mm:ss.sss+hhmm
YYYY-MM-DDThh:mm:ss.sss+hhmm
YYYY-MM-DD hh:mm:ss.sss+hh
YYYY-MM-DDThh:mm:ss.sss+hh
YYYY-MM-DD hh:mm:ss.sss-hh:mm
YYYY-MM-DDThh:mm:ss.sss-hh:mm
YYYY-MM-DD hh:mm:ss.sss-hhmm
YYYY-MM-DDThh:mm:ss.sss-hhmm
YYYY-MM-DD hh:mm:ss.sss-hh
YYYY-MM-DDThh:mm:ss.sss-hh
YYYY-MM-DD hhmmss.sss
YYYY-MM-DDThhmmss.sss
YYYY-MM-DD hhmmss.sssZ
YYYY-MM-DDThhmmss.sssZ
YYYY-MM-DD hhmmss.sss+hh:mm
YYYY-MM-DDThhmmss.sss+hh:mm
YYYY-MM-DD hhmmss.sss+hhmm
YYYY-MM-DDThhmmss.sss+hhmm
YYYY-MM-DD hhmmss.sss+hh
YYYY-MM-DDThhmmss.sss+hh
YYYY-MM-DD hhmmss.sss-hh:mm
YYYY-MM-DDThhmmss.sss-hh:mm
YYYY-MM-DD hhmmss.sss-hhmm
YYYY-MM-DDThhmmss.sss-hhmm
YYYY-MM-DD hhmmss.sss-hh
YYYY-MM-DDThhmmss.sss-hh
YYYY-MM-DD hh:mm:ss
YYYY-MM-DDThh:mm:ss
YYYY-MM-DD hh:mm:ssZ
YYYY-MM-DDThh:mm:ssZ
YYYY-MM-DD hh:mm:ss+hh:mm
YYYY-MM-DDThh:mm:ss+hh:mm
YYYY-MM-DD hh:mm:ss+hhmm
YYYY-MM-DDThh:mm:ss+hhmm
YYYY-MM-DD hh:mm:ss+hh
YYYY-MM-DDThh:mm:ss+hh
YYYY-MM-DD hh:mm:ss-hh:mm
YYYY-MM-DDThh:mm:ss-hh:mm
YYYY-MM-DD hh:mm:ss-hhmm
YYYY-MM-DDThh:mm:ss-hhmm
YYYY-MM-DD hh:mm:ss-hh
YYYY-MM-DDThh:mm:ss-hh
YYYY-MM-DD hhmmss
YYYY-MM-DDThhmmss
YYYY-MM-DD hhmmssZ
YYYY-MM-DDThhmmssZ
YYYY-MM-DD hhmmss+hh:mm
YYYY-MM-DDThhmmss+hh:mm
YYYY-MM-DD hhmmss+hhmm
YYYY-MM-DDThhmmss+hhmm
YYYY-MM-DD hhmmss+hh
YYYY-MM-DDThhmmss+hh
YYYY-MM-DD hhmmss-hh:mm
YYYY-MM-DDThhmmss-hh:mm
YYYY-MM-DD hhmmss-hhmm
YYYY-MM-DDThhmmss-hhmm
YYYY-MM-DD hhmmss-hh
YYYY-MM-DDThhmmss-hh
YYYY-MM-DD hh:mm
YYYY-MM-DDThh:mm
YYYY-MM-DD hh:mmZ
YYYY-MM-DDThh:mmZ
YYYY-MM-DD hh:mm+hh:mm
YYYY-MM-DDThh:mm+hh:mm
YYYY-MM-DD hh:mm+hhmm
YYYY-MM-DDThh:mm+hhmm
YYYY-MM-DD hh:mm+hh
YYYY-MM-DDThh:mm+hh
YYYY-MM-DD hh:mm-hh:mm
YYYY-MM-DDThh:mm-hh:mm
YYYY-MM-DD hh:mm-hhmm
YYYY-MM-DDThh:mm-hhmm
YYYY-MM-DD hh:mm-hh
YYYY-MM-DDThh:mm-hh
YYYY-MM-DD hhmm
YYYY-MM-DDThhmm
YYYY-MM-DD hhmmZ
YYYY-MM-DDThhmmZ
YYYY-MM-DD hhmm+hh:mm
YYYY-MM-DDThhmm+hh:mm
YYYY-MM-DD hhmm+hhmm
YYYY-MM-DDThhmm+hhmm
YYYY-MM-DD hhmm+hh
YYYY-MM-DDThhmm+hh
YYYY-MM-DD hhmm-hh:mm
YYYY-MM-DDThhmm-hh:mm
YYYY-MM-DD hhmm-hhmm
YYYY-MM-DDThhmm-hhmm
YYYY-MM-DD hhmm-hh
YYYY-MM-DDThhmm-hh
YYYY-MM-DD hh
YYYY-MM-DDThh
YYYY-MM-DD hhZ
YYYY-MM-DDThhZ
YYYY-MM-DD hh+hh:mm
YYYY-MM-DDThh+hh:mm
YYYY-MM-DD hh+hhmm
YYYY-MM-DDThh+hhmm
YYYY-MM-DD hh+hh
YYYY-MM-DDThh+hh
YYYY-MM-DD hh-hh:mm
YYYY-MM-DDThh-hh:mm
YYYY-MM-DD hh-hhmm
YYYY-MM-DDThh-hhmm
YYYY-MM-DD hh-hh
YYYY-MM-DDThh-hh
YYYY
YYYY hh:mm:ss.sss
YYYYThh:mm:ss.sss
YYYY hh:mm:ss.sssZ
YYYYThh:mm:ss.sssZ
YYYY hh:mm:ss.sss+hh:mm
YYYYThh:mm:ss.sss+hh:mm
YYYY hh:mm:ss.sss+hhmm
YYYYThh:mm:ss.sss+hhmm
YYYY hh:mm:ss.sss+hh
YYYYThh:mm:ss.sss+hh
YYYY hh:mm:ss.sss-hh:mm
YYYYThh:mm:ss.sss-hh:mm
YYYY hh:mm:ss.sss-hhmm
YYYYThh:mm:ss.sss-hhmm
YYYY hh:mm:ss.sss-hh
YYYYThh:mm:ss.sss-hh
YYYY hhmmss.sss
YYYYThhmmss.sss
YYYY hhmmss.sssZ
YYYYThhmmss.sssZ
YYYY hhmmss.sss+hh:mm
YYYYThhmmss.sss+hh:mm
YYYY hhmmss.sss+hhmm
YYYYThhmmss.sss+hhmm
YYYY hhmmss.sss+hh
YYYYThhmmss.sss+hh
YYYY hhmmss.sss-hh:mm
YYYYThhmmss.sss-hh:mm
YYYY hhmmss.sss-hhmm
YYYYThhmmss.sss-hhmm
YYYY hhmmss.sss-hh
YYYYThhmmss.sss-hh
YYYY hh:mm:ss
YYYYThh:mm:ss
YYYY hh:mm:ssZ
YYYYThh:mm:ssZ
YYYY hh:mm:ss+hh:mm
YYYYThh:mm:ss+hh:mm
YYYY hh:mm:ss+hhmm
YYYYThh:mm:ss+hhmm
YYYY hh:mm:ss+hh
YYYYThh:mm:ss+hh
YYYY hh:mm:ss-hh:mm
YYYYThh:mm:ss-hh:mm
YYYY hh:mm:ss-hhmm
YYYYThh:mm:ss-hhmm
YYYY hh:mm:ss-hh
YYYYThh:mm:ss-hh
YYYY hhmmss
YYYYThhmmss
YYYY hhmmssZ
YYYYThhmmssZ
YYYY hhmmss+hh:mm
YYYYThhmmss+hh:mm
YYYY hhmmss+hhmm
YYYYThhmmss+hhmm
YYYY hhmmss+hh
YYYYThhmmss+hh
YYYY hhmmss-hh:mm
YYYYThhmmss-hh:mm
YYYY hhmmss-hhmm
YYYYThhmmss-hhmm
YYYY hhmmss-hh
YYYYThhmmss-hh
YYYY hh:mm
YYYYThh:mm
YYYY hh:mmZ
YYYYThh:mmZ
YYYY hh:mm+hh:mm
YYYYThh:mm+hh:mm
YYYY hh:mm+hhmm
YYYYThh:mm+hhmm
YYYY hh:mm+hh
YYYYThh:mm+hh
YYYY hh:mm-hh:mm
YYYYThh:mm-hh:mm
YYYY hh:mm-hhmm
YYYYThh:mm-hhmm
YYYY hh:mm-hh
YYYYThh:mm-hh
YYYY hhmm
